Resource ID,Exact Legacy Title,Legacy Page,Legacy Page URL,Resource Type,Original URL,Original Filename,Original Link Status,File Recovered,Migration Decision,Verification Date,Notes
JMERG-001,This website was built on Wix. Create yours today. Get Started,About _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/about,External Link,https://www.wix.com/lpviral/enviral?utm_campaign=vir_wixad_live&adsVersion=banner_2024&orig_msid=aa99f552-cce6-4d9b-96f0-a304175f7068&orig_msid=2aef310d-9351-419e-9a0a-317bf599b4ac&adsVersion=banner_2024,enviral,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-002,Wix,About _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/about,External Link,https://wix.com/?utm_campaign=vir_created_with,,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-003,MONITORING AND EVALUATION OF THE HIV CASCADE.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_86b718ddb6774860b84054a5957752ab.pdf,8a054d_86b718ddb6774860b84054a5957752ab.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-004,HIV Services Final .pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_232d4e48bfdb43dc84cad99fb3dd35ac.pdf,8a054d_232d4e48bfdb43dc84cad99fb3dd35ac.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-005,Pharmacology and Pharmacotherapy of ARVs Updated 2025 HW.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_4b1521a6445d44e3ba65329dba239ae7.pdf,8a054d_4b1521a6445d44e3ba65329dba239ae7.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-006,Opportunistic Infections 2025.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_113095e952124786b4d63d78dafba366.pdf,8a054d_113095e952124786b4d63d78dafba366.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-007,ENGAGING KEY POPULATIONS - SUPPORT SERVICES.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_0f65d83deb3a4d3492aa49e6ea346f13.pdf,8a054d_0f65d83deb3a4d3492aa49e6ea346f13.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-008,Preped and Ready to Go reviewed and final.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_4baa6a2f12c24c6dbaee2ec72b663244.pdf,8a054d_4baa6a2f12c24c6dbaee2ec72b663244.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-009,Human Rights in the Health Care Setting 3.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9c6bd60e58804d7e9bd7b1210fd30ba1.pdf,8a054d_9c6bd60e58804d7e9bd7b1210fd30ba1.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-010,HIV Testing Presentation.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9c0f0d22003e4b859fa38f15a7413073.pdf,8a054d_9c0f0d22003e4b859fa38f15a7413073.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-011,Ageing PLHIV 2025.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9e6b1d09515245948846c854a3614ddc.pdf,8a054d_9e6b1d09515245948846c854a3614ddc.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-012,TCS Annual Forum Poster_Jarrett_Final.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_1f06dc50326b4836a2fdf20ac5a53369.pdf,8a054d_1f06dc50326b4836a2fdf20ac5a53369.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-013,Trought_Kupa_TCS Annual Forum Poster_FINAL.pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9397627194fb4426b80cc8067aad32ad.pdf,8a054d_9397627194fb4426b80cc8067aad32ad.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-014,TCS Annual Forum Poster Presentation (Daniel Perry).pdf,Resources _ Jmerg(1).html,https://williamsandremoh.wixsite.com/jmerg/general-5,PDF,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_f79974bc4057439f847eb7d1d9744fb6.pdf,8a054d_f79974bc4057439f847eb7d1d9744fb6.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-015,https://www.stigmaindex.org/wp-content/uploads/2020/06/Jamaica-SI-Report-2020.pdf,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,PDF,https://www.stigmaindex.org/wp-content/uploads/2020/06/Jamaica-SI-Report-2020.pdf,Jamaica-SI-Report-2020.pdf,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-016,https://publications.iadb.org/en/womens-health-survey-2016-jamaica-final-report,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,External Link,https://publications.iadb.org/en/womens-health-survey-2016-jamaica-final-report,womens-health-survey-2016-jamaica-final-report,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-017,https://hstu.moh.gov.jm/media/reports/,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,External Link,https://hstu.moh.gov.jm/media/reports/,,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-018,https://hstu.moh.gov.jm/media/policy-papers/,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,External Link,https://hstu.moh.gov.jm/media/policy-papers/,,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-019,,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,External Link,https://hstu.moh.gov.jm/media/manuals/,,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-020,https://hstu.moh.gov.jm/media/research/,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,External Link,https://hstu.moh.gov.jm/media/research/,,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
JMERG-021,https://hstu.moh.gov.jm/media/strategic-plans/,Reports _ Jmerg.html,https://williamsandremoh.wixsite.com/jmerg/copy-of-resources,External Link,https://hstu.moh.gov.jm/media/strategic-plans/,,URL EXTRACTED FROM SAVED LEGACY PAGE — runtime fetch not available in current environment,NO,PENDING FILE/LINK VERIFICATION,2026-09-25,Direct legacy URL recovered from user-saved Wix HTML.
