Control Item,Found,Legacy Location Identified,Underlying Link Identified,File Recovered,File Opens,Proposed HSTU Destination,Added to HSTU,Gia Finds It,Status,Notes
Monitoring and Evaluation of the HIV Cascade,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_86b718ddb6774860b84054a5957752ab.pdf,NO,NOT TESTED — fetch unavailable,Research,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,MONITORING AND EVALUATION OF THE HIV CASCADE.pdf
HIV Services,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_232d4e48bfdb43dc84cad99fb3dd35ac.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,HIV Services Final .pdf
Pharmacology and Pharmacotherapy of ARVs 2025,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_4b1521a6445d44e3ba65329dba239ae7.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,Pharmacology and Pharmacotherapy of ARVs Updated 2025 HW.pdf
Opportunistic Infections 2025,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_113095e952124786b4d63d78dafba366.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,Opportunistic Infections 2025.pdf
2024 HIV KABP Final REPORT - August 2025,YES,Reports _ Jmerg.html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_808940ad37ff4310a4482e2b16c4ca06.pdf,NO,NOT TESTED — fetch unavailable,Research,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,2024 HIV KABP Final REPORT -August 2025.pdf
Engaging Key Populations - Support Services,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_0f65d83deb3a4d3492aa49e6ea346f13.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,ENGAGING KEY POPULATIONS - SUPPORT SERVICES.pdf
Preped and Ready to Go,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_4baa6a2f12c24c6dbaee2ec72b663244.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,Preped and Ready to Go reviewed and final.pdf
Human Rights in the Health Care Setting,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9c6bd60e58804d7e9bd7b1210fd30ba1.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,Human Rights in the Health Care Setting 3.pdf
HIV Testing Presentation,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9c0f0d22003e4b859fa38f15a7413073.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,HIV Testing Presentation.pdf
Ageing PLHIV 2025,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9e6b1d09515245948846c854a3614ddc.pdf,NO,NOT TESTED — fetch unavailable,Learning,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,Ageing PLHIV 2025.pdf
TCS Annual Forum Poster 1,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_1f06dc50326b4836a2fdf20ac5a53369.pdf,NO,NOT TESTED — fetch unavailable,Gallery,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,TCS Annual Forum Poster_Jarrett_Final.pdf
TCS Annual Forum Poster 2,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_9397627194fb4426b80cc8067aad32ad.pdf,NO,NOT TESTED — fetch unavailable,Gallery,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,Trought_Kupa_TCS Annual Forum Poster_FINAL.pdf
TCS Annual Forum Poster 3,YES,Resources _ Jmerg(1).html,https://2aef310d-9351-419e-9a0a-317bf599b4ac.filesusr.com/ugd/8a054d_f79974bc4057439f847eb7d1d9744fb6.pdf,NO,NOT TESTED — fetch unavailable,Gallery,NO,NO,LINK RECOVERED — FILE VERIFICATION PENDING,TCS Annual Forum Poster Presentation (Daniel Perry).pdf
