Legacy URL,Legacy Title,Resource Type,Year,Old Status,New URL/Path,New HSTU Section,Current/Historical,Verification Date,Migration Decision
Legacy Wix route not directly recoverable; official replacement/recovered source used,"2012 HIV/AIDS Knowledge, Attitudes and Behavior Survey",Research report · 2012 · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/2012_KABP_Final_Report.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Final Report: PLACE and MSM Surveys (2012),Research report · 2012 · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2016/05/Final-Report-PLACE-and-MSM-Surveys-July-22-2012.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Jamaica Modes of Transmission Report 2012,Modelling study · 2012 · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2016/05/Jamaica-MOT-Report-2012-FINAL-for-dissemination.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,KAB 4-Page Fact Sheet,Fact sheet · historical reference,,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2016/05/KAB-4-Page-Fact-Sheet-.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Jamaica National AIDS Spending Assessment (NASA) 2012,Financing assessment · 2012 · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://www.moh.gov.jm/wp-content/uploads/2016/05/Jamaica-NASA-Final-Sept-2012-Final-Report-1-2.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Jamaica PLHIV Stigma Index Study (2015 version),Research report · 2015 · historical reference,2015,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2016/05/Jamaica-PLHIV-Stigma-Index-Study-Updated-Version-March-9-2015-FINAL.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,NISP SRH & HIV 2014–2019 Implementation Matrix,Implementation matrix · historical reference,2014,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2016/05/Final-Integrated-SRH-NISP-Matrix-with-SRH-Validation.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Jamaica HIV National Strategic Plan for MSM 2012–2017,Strategic plan · historical reference,2012,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/Jamaica-National-HIV-Strategic-Plan-for-MSM.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,Appendices for National Strategic Plan 2007–2012,Strategic-plan appendices · historical reference,2007,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/APPENDICES_FOR_NSP_2007_2012.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
Legacy Wix route not directly recoverable; official replacement/recovered source used,HIV and AIDS in Jamaica: National Strategic Plan 2007–2012,National strategic plan · historical reference,2007,Recovered from official HSTU/MOHW/Jamaica programme publication ecosystem,https://moh.gov.jm/wp-content/uploads/2015/07/National_Strategic_Plan_for_Cabinet_March_25_2008.pdf,Research > Strategic Information & M&E / J-MERG Legacy Collection,Historical / Reference,2026-09-25,MIGRATED AS HISTORICAL/REFERENCE
