Name,Organisation,URL,Region,Topics,Resource Type,Verified Working,Date Checked
HSTU Statistics,MOHW Jamaica · National HIV/STI/TB Programme,https://hstu.moh.gov.jm/media/statistics/,Jamaica,HIV; STI; Surveillance; M&E; Epidemiology,Official bulletins · surveillance · programme data,YES,2026-09-25
HSTU Monitoring & Evaluation,MOHW Jamaica · National HIV/STI/TB Programme,https://hstu.moh.gov.jm/components/monitoring-and-evaluation/,Jamaica,HIV; M&E; Research Literature; Surveillance,Research studies · M&E programme resources,YES,2026-09-25
HSTU Manuals,MOHW Jamaica · National HIV/STI/TB Programme,https://hstu.moh.gov.jm/media/manuals/,Jamaica,HIV; STI; M&E; SRH,Official programme manuals · guidelines,YES,2026-09-25
MOHW Data & Reports,Ministry of Health & Wellness Jamaica,https://www.moh.gov.jm/data/,Jamaica,Health Systems; Surveillance; Research Literature; Population; HIV,National reports · plans · surveillance publications,YES,2026-09-25
MOHW Publications,Ministry of Health & Wellness Jamaica,https://www.moh.gov.jm/publications/,Jamaica,Research Literature; Health Systems; Surveillance,Official publications repository,YES,2026-09-25
Jamaica Population Health Status Report 1990–2024,Ministry of Health & Wellness Jamaica,https://www.moh.gov.jm/presentation/jamaica-population-health-status-report-2026-final-for-ebook/,Jamaica,Population; Mortality; Epidemiology; Health Systems,National population health report,YES,2026-09-25
Jamaica Survey of Living Conditions,Planning Institute of Jamaica,https://www.pioj.gov.jm/product-category/annual-publications/jamaica-survey-of-living-conditions/,Jamaica,Social Determinants; Population; Economics; Health Systems,Household survey · poverty · health · education · housing,YES,2026-09-25
Jamaica Open Data,Government of Jamaica,https://data.gov.jm/,Jamaica,Data; Health Systems; Population; Economics,Government open-data catalogue,YES,2026-09-25
Caribbean Institute for Health Research,The University of the West Indies,https://www.uwi.edu/caihr/research/index.php,Jamaica,Research Literature; Epidemiology; Health Systems,Academic health research institute,YES,2026-09-25
PANCAP Data,Pan Caribbean Partnership against HIV and AIDS,https://pancap.org/pancap-data/,Caribbean,HIV; Surveillance; M&E,Caribbean HIV estimates · country data,YES,2026-09-25
PAHO Jamaica,Pan American Health Organization,https://www.paho.org/en/jamaica,Caribbean,Health Systems; Population; HIV; STI; SRH,Country health profile · indicators · regional evidence,YES,2026-09-25
ECLAC Data & Statistics,Economic Commission for Latin America and the Caribbean,https://www.cepal.org/en/data-and-statistics,Caribbean,Population; Social Determinants; Economics; Data,Regional statistical systems · CEPALSTAT · REDATAM,YES,2026-09-25
UNAIDS Jamaica,UNAIDS,https://www.unaids.org/en/regionscountries/countries/jamaica,International,HIV; Surveillance; M&E,Country HIV profile · AIDSINFO gateway,YES,2026-09-25
UNAIDS Jamaica Results & Transparency,UNAIDS,https://open.unaids.org/countries/jamaica,International,HIV; M&E; Economics,Country results · programme performance · reports,YES,2026-09-25
WHO Data,World Health Organization,https://data.who.int/,International,Population; Mortality; Epidemiology; Health Systems; Data,Global health indicators · downloadable data,YES,2026-09-25
WHO Global Health Observatory,World Health Organization,https://www.who.int/data/gho/,International,HIV; TB; SRH; Mortality; Health Systems; Epidemiology,"1,000+ indicators · countries · API",YES,2026-09-25
WHO Global Tuberculosis Data,World Health Organization,https://www.who.int/teams/global-tuberculosis-programme/data,International,TB; Surveillance; Mortality; M&E; Epidemiology,TB profiles · estimates · notifications · CSV,YES,2026-09-25
World Bank — Jamaica Data,World Bank,https://data.worldbank.org/country/jamaica,International,Population; Social Determinants; Economics; Health Systems,Country indicators · downloadable CSV/Excel,YES,2026-09-25
"World Bank Health, Nutrition & Population DataBank",World Bank,https://databank.worldbank.org/source/health-nutrition-and-population-statistics,International,Population; SRH; Health Systems; HIV; TB; Economics,Health database · tables · charts · CSV/Excel,YES,2026-09-25
UNICEF Data — Jamaica,UNICEF,https://data.unicef.org/country/jam/,International,Population; SRH; Mortality; Social Determinants,Country demographic · maternal · child indicators,YES,2026-09-25
UNFPA World Population Dashboard — Jamaica,United Nations Population Fund,https://www.unfpa.org/data/world-population/JM,International,Population; SRH,Population · fertility · SRH country indicators,YES,2026-09-25
UN World Population Prospects,United Nations DESA Population Division,https://population.un.org/wpp,International,Population; Mortality,Population estimates · projections,YES,2026-09-25
UN SDG Indicators,United Nations Statistics Division,https://unstats.un.org/sdgs,International,Population; Health Systems; Social Determinants; Economics; M&E,SDG indicators · metadata · database,YES,2026-09-25
Global Fund Data Explorer,The Global Fund,https://data.theglobalfund.org/,International,HIV; TB; M&E; Economics,HIV/TB results · grants · investments,YES,2026-09-25
CDC HIV Data,US Centers for Disease Control and Prevention,https://www.cdc.gov/hiv-data/,International,HIV; Surveillance; M&E,HIV surveillance · monitoring · AtlasPlus,YES,2026-09-25
CDC STI Statistics,US Centers for Disease Control and Prevention,https://www.cdc.gov/sti-statistics/index.html,International,STI; Surveillance; Epidemiology,STI surveillance · syphilis · gonorrhoea · chlamydia,YES,2026-09-25
CDC Tuberculosis Data,US Centers for Disease Control and Prevention,https://www.cdc.gov/tb-data/index.html,International,TB; Surveillance; Epidemiology,TB surveillance · reports · programme data,YES,2026-09-25
PubMed,US National Library of Medicine,https://pubmed.ncbi.nlm.nih.gov/,International,Research Literature,Biomedical bibliographic database,YES,2026-09-25
PubMed Central,US National Library of Medicine,https://pmc.ncbi.nlm.nih.gov/,International,Research Literature,Free full-text biomedical archive,YES,2026-09-25
